state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,day_minutes,day_calls,day_charge,eve_minutes,eve_calls,eve_charge,night_minutes,night_calls,night_charge,intl_minutes,intl_calls,intl_charge,customer_service_calls,churn,total_minutes_domestic,total_minutes_all,total_charge_domestic,total_charge_all,total_calls_domestic,total_calls_all,customer_satisfaction
NC,170,415,0,0,0,246.4,107,41.89,228.1,124,19.39,166.4,95,7.49,9.1,8,2.46,0,0,640.9,650.0,68.77,71.22999999999999,326,334,0.0
HI,105,510,0,0,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13.0,4,3.51,1,0,639.2,652.2,67.92999999999999,71.44,292,296,0.33783783783783783
UT,103,415,0,0,0,189.8,110,32.27,115.5,83,9.82,191.3,103,8.61,12.2,4,3.29,0,0,496.6,508.8,50.7,53.99,296,300,0.0
MD,140,415,1,1,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4,0,547.5,559.0,54.69,57.8,326,331,1.2084592145015105
VT,101,510,0,0,0,0.0,0,0.0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,0,360.9,368.09999999999997,23.93,25.87,214,218,0.45871559633027525
TX,98,408,0,1,19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11.0,4,2.97,1,0,581.9,592.9,49.11,52.08,268,272,0.3676470588235294
AZ,104,408,0,0,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,0,602.6999999999999,614.4,56.839999999999996,60.0,322,324,1.2345679012345678
VA,115,415,0,0,0,132.0,90,22.44,197.5,75,16.79,175.8,114,7.91,0.0,0,0.0,3,0,505.3,505.3,47.14,47.14,279,279,1.0752688172043012
WI,112,408,0,0,0,167.8,88,28.53,247.9,81,21.07,155.1,108,6.98,11.9,4,3.21,0,0,570.8000000000001,582.7,56.58,59.79,277,281,0.0
NE,70,415,0,0,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1,0,674.7,680.4000000000001,65.23,66.77000000000001,264,268,0.3731343283582089
KY,126,510,0,0,0,175.4,120,29.82,98.3,71,8.36,201.9,93,9.09,10.6,1,2.86,0,0,475.6,486.20000000000005,47.269999999999996,50.129999999999995,284,285,0.0
NV,87,510,0,1,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3,0,470.6,480.1,40.47,43.04,264,265,1.1320754716981132
MT,125,510,0,0,0,143.2,80,24.34,88.1,94,7.49,233.2,135,10.49,8.8,7,2.38,4,1,464.5,473.3,42.32,44.7,309,316,1.2658227848101267
MO,86,415,0,0,0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1,0,631.1,640.0,54.879999999999995,57.279999999999994,342,350,0.2857142857142857
MS,73,415,0,1,31,82.3,105,13.99,256.1,91,21.77,229.6,98,10.33,11.8,2,3.19,6,1,568.0,579.8,46.089999999999996,49.279999999999994,294,296,2.027027027027027
NM,232,408,0,0,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1,0,479.8,491.6,50.12,53.309999999999995,296,299,0.33444816053511706
NJ,1,415,0,1,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,0,664.0,672.4,62.07,64.34,315,317,0.0
NH,133,408,0,0,0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,0,634.5999999999999,646.8,57.31,60.6,263,268,0.3731343283582089
NC,103,510,0,0,0,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,7.7,6,2.08,1,0,526.9,534.6,52.230000000000004,54.31,290,296,0.33783783783783783
MT,131,415,0,1,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1,0,579.7,589.1,52.400000000000006,54.940000000000005,259,263,0.38022813688212925
SD,95,408,0,1,20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0,0,624.5999999999999,634.3999999999999,57.45,60.1,263,269,0.0
VA,182,415,0,0,0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,0,585.7,595.4000000000001,55.370000000000005,57.99,330,334,0.29940119760479045
LA,99,510,0,0,0,142.3,89,24.19,204.5,95,17.38,203.1,114,9.14,9.1,1,2.46,0,0,549.9,559.0,50.71,53.17,298,299,0.0
NV,27,510,0,0,0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3,0,667.3,674.9,64.1,66.14999999999999,319,322,0.9316770186335404
AK,141,408,0,0,0,83.2,74,14.14,190.6,104,16.2,150.5,79,6.77,10.7,7,2.89,1,0,424.3,435.0,37.11,40.0,257,264,0.3787878787878788
OH,29,415,1,1,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,0,558.1,563.8000000000001,61.82,63.36,286,293,0.6825938566552902
NM,65,415,0,0,0,105.7,95,17.97,141.8,100,12.05,180.5,105,8.12,6.6,12,1.78,2,0,428.0,434.6,38.14,39.92,300,312,0.641025641025641
MI,81,415,1,0,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,1,535.8,553.6999999999999,49.66,54.489999999999995,263,266,1.1278195488721803
MN,37,415,0,1,20,264.7,81,45.0,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81,0,0,691.9,702.3,72.88,75.69,293,300,0.0
WY,107,510,0,1,31,160.3,45,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51,1,0,643.4000000000001,649.0000000000001,57.849999999999994,59.35999999999999,224,225,0.4444444444444444
WY,127,415,1,1,28,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,10.4,3,2.81,1,0,408.20000000000005,418.6,36.74,39.550000000000004,380,383,0.26109660574412535
WA,78,408,0,0,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0,0,588.8,600.5,51.89000000000001,55.05000000000001,298,303,0.0
NM,55,510,0,0,0,119.7,148,20.35,231.8,96,19.7,222.3,113,10.0,4.6,2,1.24,2,0,573.8,578.4,50.05,51.29,357,359,0.5571030640668524
VA,86,415,0,1,30,99.9,84,16.98,263.5,125,22.4,254.7,90,11.46,9.8,7,2.65,2,0,618.0999999999999,627.8999999999999,50.839999999999996,53.489999999999995,299,306,0.6535947712418301
RI,176,415,0,0,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,0,570.9,580.5,63.91,66.5,293,299,0.6688963210702341
AL,96,415,1,0,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0,588.4,599.6,63.13,66.15,332,337,0.5934718100890208
WV,11,510,0,1,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,7.0,7,1.89,1,0,639.4,646.4,62.870000000000005,64.76,293,300,0.33333333333333337
WV,48,415,0,1,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,0,689.6,697.2,66.73,68.78,262,266,0.37593984962406013
NJ,127,510,0,0,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,0,618.6,629.9,62.980000000000004,66.03,338,343,0.2915451895043732
TN,63,415,0,0,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,0,565.0999999999999,576.3,51.91,54.93,290,292,0.0
MI,79,510,0,0,0,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,12.2,2,3.29,1,0,574.1,586.3000000000001,61.14,64.43,278,280,0.35714285714285715
UT,47,408,0,1,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,0,535.4,548.6,47.949999999999996,51.51,359,365,0.547945205479452
IL,89,415,1,1,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3.0,0,1,497.79999999999995,508.9,46.94,49.94,362,364,0.0
MI,83,510,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0,594.7,605.5,64.45,67.37,296,303,0.33003300330033003
WI,126,415,1,1,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,0,675.3,685.0,69.79,72.41000000000001,359,365,1.095890410958904
ND,60,510,0,0,0,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,0,663.9,679.0,64.7,68.78,342,348,0.5747126436781609
VT,122,415,0,0,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,0,568.6999999999999,577.3,52.4,54.72,362,366,0.0
WA,136,408,0,0,0,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,5.0,10,1.35,1,0,480.6,485.6,49.06,50.410000000000004,281,291,0.3436426116838488
NC,172,408,0,1,47,274.9,102,46.73,186.6,118,15.86,245.0,123,11.03,8.8,2,2.38,1,0,706.5,715.3,73.61999999999999,75.99999999999999,343,345,0.2898550724637681
ME,102,510,0,0,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1,1,605.9,614.1999999999999,60.09,62.330000000000005,276,279,0.35842293906810035
SD,113,415,1,0,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,0,532.5,541.7,57.05,59.529999999999994,294,301,0.33222591362126247
WV,79,415,0,0,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,0,644.1,653.0,62.62,65.02,263,267,1.1235955056179776
ID,55,510,0,1,8,222.5,104,37.83,171.5,94,14.58,377.5,114,16.99,9.7,2,2.62,1,0,771.5,781.2,69.39999999999999,72.02,312,314,0.3184713375796179
LA,111,415,0,1,28,128.8,104,21.9,157.3,52,13.37,147.4,76,6.63,10.3,2,2.78,2,0,433.5,443.8,41.9,44.68,232,234,0.8547008547008548
GA,160,415,0,0,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,0,566.4000000000001,574.7,54.129999999999995,56.37,343,345,0.0
FL,110,415,0,0,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11,4,0,588.9,596.6999999999999,63.31,65.42,336,339,1.1799410029498525
CO,192,415,0,0,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,0,674.1999999999999,686.9,69.44,72.87,234,240,1.6666666666666667
NV,93,408,0,0,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,0,461.7,472.59999999999997,43.9,46.839999999999996,291,300,0.0
IN,101,415,0,1,33,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57,2,0,591.0,600.5,61.53,64.1,344,346,0.5780346820809248
VA,77,510,0,0,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,0,548.6,560.9,48.849999999999994,52.169999999999995,324,327,0.6116207951070336
UT,105,415,0,1,40,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,8.1,3,2.19,2,0,574.6,582.7,60.11,62.3,336,339,0.5899705014749262
UT,133,408,0,1,44,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,1,607.5,621.6,57.459999999999994,61.269999999999996,280,287,0.6968641114982579
MO,131,408,0,0,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1,0,700.2,706.8000000000001,58.49,60.27,251,258,0.3875968992248062
CT,106,510,0,1,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,0,468.1,478.0,40.69,43.36,318,322,0.3105590062111801
HI,118,415,0,0,0,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,1,0,509.1,515.0,44.43,46.02,334,338,0.2958579881656805
MD,125,408,0,0,0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1,0,585.3,593.9,51.870000000000005,54.190000000000005,291,295,0.3389830508474576
VA,95,415,0,0,0,197.0,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0,0,599.3,615.4,59.21,63.56,260,268,0.0
MT,80,415,0,0,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,0,536.9,546.1999999999999,55.19,57.699999999999996,323,326,0.9202453987730062
SC,145,408,0,0,0,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,10.0,6,2.7,0,0,489.6,499.6,37.55,40.25,274,280,0.0
CO,37,408,0,0,0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2,0,490.9,499.0,55.34,57.53,340,344,0.5813953488372093
ID,87,415,0,0,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,0,595.9000000000001,603.5000000000001,55.05,57.099999999999994,238,244,0.4098360655737705
AL,69,415,0,0,0,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,9.0,5,2.43,3,0,649.0,658.0,61.63999999999999,64.07,279,284,1.056338028169014
CO,83,510,0,0,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,0,451.7,460.3,41.75,44.07,305,307,0.32573289902280134
UT,195,415,0,0,0,63.2,108,10.74,220.2,88,18.72,184.0,99,8.28,5.1,3,1.38,0,0,467.4,472.5,37.74,39.120000000000005,295,298,0.0
DE,67,415,1,1,35,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0,1,613.3,630.1999999999999,58.870000000000005,63.43000000000001,281,285,0.0
OH,75,510,0,1,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3,0,518.7,522.9000000000001,46.31,47.440000000000005,343,350,0.8571428571428572
RI,123,415,0,1,27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15.0,1,4.05,0,0,555.9000000000001,570.9000000000001,58.89,62.94,273,274,0.0
FL,41,415,0,1,41,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59,1,0,460.3,466.2,52.120000000000005,53.71000000000001,289,292,0.3424657534246575
OH,75,415,0,0,0,150.6,99,25.6,301.5,83,25.63,158.7,104,7.14,8.1,5,2.19,0,0,610.8,618.9,58.370000000000005,60.56,286,291,0.0
MD,76,415,1,0,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1,1,702.1000000000001,714.1000000000001,76.30000000000001,79.54,271,278,0.3597122302158274
IL,86,415,1,0,0,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,10.3,4,2.78,1,0,654.6,664.9,70.0,72.78,315,319,0.3134796238244514
PA,140,408,0,0,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0,0,519.1,535.4,43.730000000000004,48.13,239,245,0.0
AZ,70,415,0,0,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3,0,356.3,372.1,32.41,36.67999999999999,326,333,0.9009009009009009
NH,121,510,0,1,35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0,0,610.2,616.1,59.6,61.190000000000005,254,258,0.0
RI,112,415,0,0,0,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,9.8,5,2.65,1,0,661.3,671.0999999999999,62.74999999999999,65.39999999999999,329,334,0.29940119760479045
HI,118,415,0,0,0,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,9.7,7,2.62,2,0,649.5,659.2,68.91999999999999,71.53999999999999,308,315,0.6349206349206349
NJ,66,415,0,1,16,174.7,92,29.7,232.1,105,19.73,305.4,98,13.74,8.9,2,2.4,1,0,712.1999999999999,721.0999999999999,63.17,65.57000000000001,295,297,0.33670033670033667
WI,78,408,0,0,0,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0,0,486.40000000000003,497.40000000000003,40.51,43.48,286,291,0.0
MD,129,415,0,1,34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4.0,2,0,527.4,542.1999999999999,54.61,58.61,309,318,0.628930817610063
OR,6,408,0,0,0,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,9.4,4,2.54,3,0,543.0,552.4,58.839999999999996,61.379999999999995,313,317,0.9463722397476341
NV,107,510,1,0,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,10.0,3,2.7,1,0,679.7,689.7,66.37,69.07000000000001,296,299,0.33444816053511706
AR,107,415,1,0,0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,1,557.3000000000001,570.2,49.06,52.54,318,320,0.9375
MT,138,415,0,0,0,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16,1,0,493.8,509.2,45.61000000000001,49.77000000000001,336,339,0.2949852507374631
CT,103,510,0,0,0,160.2,104,27.23,138.9,70,11.81,312.5,97,14.06,9.7,2,2.62,0,0,611.6,621.3000000000001,53.1,55.72,271,273,0.0
UT,116,415,0,1,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,0,698.7,709.8000000000001,69.23,72.23,273,275,0.0
GA,189,408,0,0,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,0,609.5,615.8,62.89,64.59,285,289,0.6920415224913495
NV,161,415,0,0,0,72.8,120,12.38,267.1,120,22.7,222.5,91,10.01,11.8,2,3.19,2,0,562.4000000000001,574.2,45.089999999999996,48.279999999999994,331,333,0.6006006006006006
TN,1,415,0,0,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7.0,2,1.89,1,0,704.1,711.1,68.06,69.95,280,282,0.3546099290780142
DE,89,408,0,0,0,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,12.8,3,3.46,1,0,590.3,603.0999999999999,57.84,61.300000000000004,331,334,0.29940119760479045
NY,64,408,0,0,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,0,677.4,687.1,70.06,72.68,291,296,0.33783783783783783
MT,126,415,0,1,30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4,1,458.6,471.40000000000003,45.87,49.33,284,288,1.3888888888888888
IA,129,415,0,0,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,0,613.5999999999999,618.4999999999999,62.09,63.410000000000004,308,318,0.628930817610063
VT,128,510,0,1,32,222.9,136,37.89,262.0,80,22.27,191.4,101,8.61,10.8,4,2.92,0,0,676.3,687.0999999999999,68.77,71.69,317,321,0.0
LA,81,415,0,1,36,115.9,120,19.7,236.6,95,20.11,255.0,90,11.48,11.7,6,3.16,3,0,607.5,619.2,51.290000000000006,54.45,305,311,0.964630225080386
MT,114,510,0,0,0,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86,1,0,510.2,520.8,52.59,55.45,302,307,0.32573289902280134
NH,50,408,0,0,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0,0,662.9,674.0,61.089999999999996,64.09,305,308,0.0
WV,86,415,0,0,0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3,0,569.5999999999999,581.0999999999999,50.78000000000001,53.89000000000001,300,301,0.9966777408637874
ID,96,408,0,0,0,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1,0,610.5,622.7,59.89,63.18,291,297,0.33670033670033667
AZ,72,510,0,0,0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0,0,565.8,578.5,63.830000000000005,67.26,294,296,0.0
SC,64,510,0,1,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,0,611.5,617.4,63.080000000000005,64.67,299,303,2.6402640264026402
WV,57,415,1,1,17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29,2,0,636.3,648.5,64.72,68.01,305,308,0.6493506493506493
OH,65,510,0,0,0,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2,0,654.5,663.0,57.49,59.79,386,389,0.5141388174807198
MD,163,408,0,0,0,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1,0,638.3,647.0999999999999,65.67999999999999,68.05999999999999,343,348,0.28735632183908044
MD,136,415,0,0,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2,0,668.6,679.3000000000001,68.35,71.24,265,268,0.7462686567164178
MN,116,408,0,0,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12.0,6,3.24,1,0,605.8,617.8,58.72,61.96,342,348,0.28735632183908044
NE,93,408,0,0,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,0,679.2,685.8000000000001,60.6,62.38,282,287,1.0452961672473868
MN,142,510,0,1,40,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,9.2,3,2.48,3,0,623.6,632.8000000000001,64.77000000000001,67.25000000000001,308,311,0.964630225080386
NY,92,408,0,0,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,0,657.4,666.0,70.00999999999999,72.32999999999998,270,272,0.3676470588235294
HI,70,415,0,0,0,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,6.7,6,1.81,1,0,674.1,680.8000000000001,67.22,69.03,277,283,0.35335689045936397
MO,22,408,0,1,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,0,486.59999999999997,490.79999999999995,55.660000000000004,56.790000000000006,294,295,0.3389830508474576
NV,37,415,0,0,0,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,12.0,2,3.24,2,0,654.3,666.3,66.97,70.21,324,326,0.6134969325153374
MA,51,415,0,0,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,0,655.0,662.0,58.769999999999996,60.66,327,330,0.30303030303030304
NH,174,408,0,0,0,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,10.0,5,2.7,2,0,508.0,518.0,46.02,48.720000000000006,311,316,0.6329113924050633
UT,68,415,0,0,0,213.9,112,36.36,260.5,100,22.14,233.8,97,10.52,8.4,3,2.27,1,1,708.2,716.6,69.02,71.28999999999999,309,312,0.3205128205128205
FL,130,415,0,0,0,207.1,70,35.21,200.1,115,17.01,194.2,100,8.74,12.4,2,3.35,1,0,601.4,613.8,60.96,64.31,285,287,0.34843205574912894
WA,104,415,0,0,0,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05,2,0,545.9,557.1999999999999,50.129999999999995,53.17999999999999,299,304,0.6578947368421052
CT,134,408,0,0,0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2,0,600.2,609.1,58.300000000000004,60.7,309,312,0.641025641025641
KY,108,415,0,1,35,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57,2,0,558.1,567.6,53.290000000000006,55.86000000000001,342,349,0.5730659025787965
NM,103,415,0,0,0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3,0,639.4,649.1,60.239999999999995,62.85999999999999,214,216,1.3888888888888888
ND,62,510,0,0,0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,0,595.3,600.9,53.66,55.169999999999995,308,312,0.3205128205128205
NV,162,415,0,0,0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,0,524.3,535.6999999999999,45.86,48.94,298,301,0.6644518272425249
CA,93,510,0,1,19,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,0,387.4,399.9,41.720000000000006,45.10000000000001,313,316,0.6329113924050633
ID,42,415,0,0,0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1,0,432.5,445.6,39.43,42.97,301,307,0.32573289902280134
OK,155,415,0,1,23,243.9,112,41.46,133.0,106,11.31,213.7,123,9.62,13.4,11,3.62,2,0,590.5999999999999,603.9999999999999,62.39,66.01,341,352,0.5681818181818182
IA,36,510,0,0,0,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,9.0,2,2.43,0,0,573.8,582.8,49.88,52.31,319,321,0.0
OH,143,415,0,0,0,223.3,99,37.96,167.1,128,14.2,203.0,84,9.14,4.5,4,1.22,0,1,593.4,597.9,61.3,62.519999999999996,311,315,0.0
NJ,197,510,0,0,0,154.8,111,26.32,171.5,102,14.58,227.3,86,10.23,10.6,2,2.86,3,0,553.6,564.2,51.129999999999995,53.989999999999995,299,301,0.9966777408637874
IA,81,510,0,0,0,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,8.0,6,2.16,1,1,748.9,756.9,75.0,77.16,339,345,0.2898550724637681
DE,138,510,1,0,0,46.5,104,7.91,186.0,114,15.81,167.5,95,7.54,9.6,4,2.59,4,1,400.0,409.6,31.259999999999998,33.849999999999994,313,317,1.2618296529968454
CA,103,415,0,1,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,1,492.3,503.8,47.73,50.839999999999996,280,287,0.0
WY,127,510,1,0,0,242.2,102,41.17,226.1,80,19.22,252.0,96,11.34,13.9,5,3.75,2,1,720.3,734.1999999999999,71.73,75.48,278,283,0.7067137809187279
OR,136,510,0,0,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1,1,725.8,736.5,72.0,74.89,302,308,0.3246753246753247
ME,99,415,0,0,0,222.4,102,37.81,185.8,89,15.79,237.7,81,10.7,12.0,8,3.24,2,0,645.9000000000001,657.9000000000001,64.3,67.53999999999999,272,280,0.7142857142857143
AR,95,415,0,0,0,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,0,480.1,489.0,37.92,40.32,290,295,0.0
ME,118,408,1,1,21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3.0,4,1,524.4,535.5,51.53,54.53,328,331,1.2084592145015105
WV,113,415,0,0,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,1,350.9,364.59999999999997,27.130000000000003,30.830000000000002,313,316,1.5822784810126582
PA,128,408,1,0,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0,0,499.0,509.7,57.160000000000004,60.050000000000004,329,334,0.0
HI,117,408,0,0,0,102.3,100,17.39,135.2,104,11.49,199.7,93,8.99,15.7,10,4.24,3,0,437.2,452.9,37.870000000000005,42.11000000000001,297,307,0.9771986970684038
MT,48,415,0,1,36,230.9,92,39.25,167.6,121,14.25,270.0,87,12.15,7.6,4,2.05,3,0,668.5,676.1,65.65,67.7,300,304,0.9868421052631579
DC,81,510,1,0,0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,0,697.0999999999999,708.9999999999999,68.26,71.47,338,341,0.0
AR,57,510,0,0,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,0,586.3,599.0,56.81,60.24,259,265,0.37735849056603776
MS,140,408,0,0,0,162.6,98,27.64,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21,1,0,510.4,518.6,51.54,53.75,273,275,0.36363636363636365
OH,107,510,0,1,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11.0,1,2.97,2,0,504.0,515.0,57.32,60.29,256,257,0.7782101167315175
MO,56,415,0,0,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1,0,485.40000000000003,499.70000000000005,45.620000000000005,49.480000000000004,302,306,0.32679738562091504
